====================================================================================================
Running Python 3.10.12 (main, Jan 26 2026, 14:55:28) [GCC 11.4.0]
Running PyTorch 2.10.0+cu128 compiled for CUDA 12.8
Running Triton version 3.6.0
Fri Feb 20 21:50:41 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.09             Driver Version: 580.126.09     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:04:00.0 Off |                  Off |
| N/A   25C    P0            112W /  700W |    1185MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|    0   N/A  N/A           13134      C   /usr/bin/python3                       1176MiB |
+-----------------------------------------------------------------------------------------+

====================================================================================================
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 495, 496, 497, 498, 991, 992, 993, 994, 1488, 1489, 1490, 1491] for warmup
step:83/1530, train_time:19667ms, step_avg:236.96ms, train loss:80.9514,  lr:1.0
step:84/1530, train_time:19904ms, step_avg:236.95ms, train loss:80.6789,  lr:1.0
step:85/1530, train_time:20141ms, step_avg:236.96ms, train loss:81.9319,  lr:1.0
step:86/1530, train_time:20378ms, step_avg:236.95ms, train loss:81.0390,  lr:1.0
step:87/1530, train_time:20617ms, step_avg:236.98ms, train loss:81.4336,  lr:1.0
step:88/1530, train_time:20852ms, step_avg:236.95ms, train loss:80.5333,  lr:1.0
step:89/1530, train_time:21089ms, step_avg:236.96ms, train loss:80.6883,  lr:1.0
step:90/1530, train_time:21324ms, step_avg:236.94ms, train loss:80.5397,  lr:1.0
step:91/1530, train_time:21561ms, step_avg:236.93ms, train loss:80.5776,  lr:1.0
step:92/1530, train_time:21798ms, step_avg:236.93ms, train loss:80.7434,  lr:1.0
step:93/1530, train_time:22034ms, step_avg:236.92ms, train loss:80.2739,  lr:1.0
step:94/1530, train_time:22270ms, step_avg:236.91ms, train loss:79.4071,  lr:1.0
step:95/1530, train_time:22509ms, step_avg:236.93ms, train loss:79.1948,  lr:1.0
step:96/1530, train_time:22744ms, step_avg:236.92ms, train loss:80.1836,  lr:1.0
step:97/1530, train_time:22983ms, step_avg:236.94ms, train loss:80.4092,  lr:1.0
step:98/1530, train_time:23219ms, step_avg:236.93ms, train loss:79.8645,  lr:1.0
step:99/1530, train_time:23457ms, step_avg:236.94ms, train loss:78.2869,  lr:1.0
step:100/1530, train_time:23695ms, step_avg:236.95ms, train loss:78.3726,  lr:1.0
step:100/1530 val_loss:5.0966 train_time:23715ms step_avg:237.15ms
step:101/1530, train_time:23934ms, step_avg:236.97ms, train loss:79.5985,  lr:1.0
step:102/1530, train_time:24169ms, step_avg:236.95ms, train loss:79.6214,  lr:1.0
step:103/1530, train_time:24407ms, step_avg:236.96ms, train loss:78.3839,  lr:1.0
step:104/1530, train_time:24642ms, step_avg:236.94ms, train loss:79.5017,  lr:1.0
step:105/1530, train_time:24881ms, step_avg:236.96ms, train loss:78.4238,  lr:1.0
step:106/1530, train_time:25115ms, step_avg:236.93ms, train loss:77.8259,  lr:1.0
step:107/1530, train_time:25353ms, step_avg:236.94ms, train loss:78.5205,  lr:1.0
step:108/1530, train_time:25590ms, step_avg:236.94ms, train loss:78.0391,  lr:1.0
step:109/1530, train_time:25827ms, step_avg:236.95ms, train loss:78.7060,  lr:1.0
step:110/1530, train_time:26063ms, step_avg:236.93ms, train loss:78.5374,  lr:1.0
step:111/1530, train_time:26300ms, step_avg:236.94ms, train loss:77.0900,  lr:1.0
step:112/1530, train_time:26537ms, step_avg:236.93ms, train loss:78.4813,  lr:1.0
step:113/1530, train_time:26774ms, step_avg:236.94ms, train loss:78.2392,  lr:1.0
step:114/1530, train_time:27011ms, step_avg:236.94ms, train loss:78.3670,  lr:1.0
step:115/1530, train_time:27250ms, step_avg:236.96ms, train loss:77.2583,  lr:1.0
step:116/1530, train_time:27485ms, step_avg:236.94ms, train loss:77.1103,  lr:1.0
step:117/1530, train_time:27722ms, step_avg:236.94ms, train loss:77.5286,  lr:1.0
step:118/1530, train_time:27958ms, step_avg:236.93ms, train loss:76.9445,  lr:1.0
step:119/1530, train_time:28196ms, step_avg:236.94ms, train loss:76.8932,  lr:1.0
step:120/1530, train_time:28431ms, step_avg:236.93ms, train loss:76.8224,  lr:1.0
step:121/1530, train_time:28668ms, step_avg:236.92ms, train loss:76.2110,  lr:1.0
step:122/1530, train_time:28902ms, step_avg:236.90ms, train loss:76.9420,  lr:1.0
step:123/1530, train_time:29141ms, step_avg:236.92ms, train loss:77.4210,  lr:1.0
step:124/1530, train_time:29377ms, step_avg:236.91ms, train loss:76.5991,  lr:1.0
step:125/1530, train_time:29615ms, step_avg:236.92ms, train loss:76.0492,  lr:1.0
step:126/1530, train_time:29851ms, step_avg:236.91ms, train loss:76.0610,  lr:1.0
step:127/1530, train_time:30089ms, step_avg:236.92ms, train loss:76.6708,  lr:1.0
step:128/1530, train_time:30326ms, step_avg:236.92ms, train loss:77.0208,  lr:1.0
step:129/1530, train_time:30563ms, step_avg:236.92ms, train loss:76.1092,  lr:1.0
step:130/1530, train_time:30799ms, step_avg:236.91ms, train loss:76.7139,  lr:1.0
step:131/1530, train_time:31035ms, step_avg:236.91ms, train loss:75.4694,  lr:1.0
step:132/1530, train_time:31270ms, step_avg:236.90ms, train loss:76.0281,  lr:1.0
step:133/1530, train_time:31507ms, step_avg:236.90ms, train loss:75.7034,  lr:1.0
step:134/1530, train_time:31743ms, step_avg:236.89ms, train loss:75.6259,  lr:1.0
step:135/1530, train_time:31980ms, step_avg:236.89ms, train loss:75.7920,  lr:1.0
step:136/1530, train_time:32215ms, step_avg:236.87ms, train loss:75.2235,  lr:1.0
step:137/1530, train_time:32452ms, step_avg:236.88ms, train loss:75.2273,  lr:1.0
step:138/1530, train_time:32688ms, step_avg:236.87ms, train loss:76.0357,  lr:1.0
step:139/1530, train_time:32925ms, step_avg:236.87ms, train loss:75.7174,  lr:1.0
step:140/1530, train_time:33161ms, step_avg:236.86ms, train loss:75.8854,  lr:1.0
step:141/1530, train_time:33398ms, step_avg:236.87ms, train loss:74.2559,  lr:1.0
step:142/1530, train_time:33633ms, step_avg:236.86ms, train loss:74.0929,  lr:1.0
step:143/1530, train_time:33871ms, step_avg:236.86ms, train loss:75.3571,  lr:1.0
step:144/1530, train_time:34105ms, step_avg:236.84ms, train loss:75.0207,  lr:1.0
