====================================================================================================
Running Python 3.10.12 (main, Jan 26 2026, 14:55:28) [GCC 11.4.0]
Running PyTorch 2.10.0+cu128 compiled for CUDA 12.8
Running Triton version 3.6.0
Fri Feb 20 21:15:24 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.09             Driver Version: 580.126.09     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:04:00.0 Off |                  Off |
| N/A   38C    P0            118W /  700W |    1185MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|    0   N/A  N/A            9907      C   /usr/bin/python3                       1176MiB |
+-----------------------------------------------------------------------------------------+

====================================================================================================
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 495, 496, 497, 498, 991, 992, 993, 994, 1488, 1489, 1490, 1491] for warmup
Resetting Model
step:90/1530, train_time:21351ms, step_avg:237.24ms, train loss:164955.3848,  lr:1.0
step:91/1530, train_time:21590ms, step_avg:237.25ms, train loss:165023.9863,  lr:1.0
step:92/1530, train_time:21826ms, step_avg:237.24ms, train loss:165342.9473,  lr:1.0
step:93/1530, train_time:22064ms, step_avg:237.24ms, train loss:164389.9434,  lr:1.0
step:94/1530, train_time:22298ms, step_avg:237.22ms, train loss:162668.7207,  lr:1.0
step:95/1530, train_time:22536ms, step_avg:237.22ms, train loss:162121.6426,  lr:1.0
step:96/1530, train_time:22773ms, step_avg:237.22ms, train loss:164114.2539,  lr:1.0
step:97/1530, train_time:23010ms, step_avg:237.22ms, train loss:164243.2988,  lr:1.0
step:98/1530, train_time:23247ms, step_avg:237.21ms, train loss:163334.5215,  lr:1.0
step:99/1530, train_time:23484ms, step_avg:237.21ms, train loss:160215.3789,  lr:1.0
step:100/1530, train_time:23718ms, step_avg:237.18ms, train loss:160407.1855,  lr:1.0
step:100/1530 val_loss:5.0823 train_time:23738ms step_avg:237.38ms
step:101/1530, train_time:23960ms, step_avg:237.23ms, train loss:163175.3906,  lr:1.0
step:102/1530, train_time:24195ms, step_avg:237.21ms, train loss:163100.6133,  lr:1.0
step:103/1530, train_time:24432ms, step_avg:237.21ms, train loss:160481.0664,  lr:1.0
step:104/1530, train_time:24666ms, step_avg:237.17ms, train loss:162823.6055,  lr:1.0
step:105/1530, train_time:24905ms, step_avg:237.19ms, train loss:160412.9512,  lr:1.0
step:106/1530, train_time:25142ms, step_avg:237.18ms, train loss:159239.9648,  lr:1.0
step:107/1530, train_time:25378ms, step_avg:237.18ms, train loss:160789.2910,  lr:1.0
step:108/1530, train_time:25614ms, step_avg:237.17ms, train loss:159783.7598,  lr:1.0
step:109/1530, train_time:25851ms, step_avg:237.17ms, train loss:160926.4648,  lr:1.0
step:110/1530, train_time:26088ms, step_avg:237.17ms, train loss:160579.8457,  lr:1.0
step:111/1530, train_time:26325ms, step_avg:237.16ms, train loss:157498.8320,  lr:1.0
step:112/1530, train_time:26559ms, step_avg:237.14ms, train loss:160620.3203,  lr:1.0
step:113/1530, train_time:26796ms, step_avg:237.13ms, train loss:160199.3066,  lr:1.0
step:114/1530, train_time:27032ms, step_avg:237.12ms, train loss:160327.9199,  lr:1.0
step:115/1530, train_time:27270ms, step_avg:237.13ms, train loss:158366.8965,  lr:1.0
step:116/1530, train_time:27506ms, step_avg:237.12ms, train loss:158072.9062,  lr:1.0
step:117/1530, train_time:27743ms, step_avg:237.12ms, train loss:159200.1309,  lr:1.0
step:118/1530, train_time:27979ms, step_avg:237.11ms, train loss:157525.8809,  lr:1.0
step:119/1530, train_time:28216ms, step_avg:237.11ms, train loss:157330.4238,  lr:1.0
step:120/1530, train_time:28452ms, step_avg:237.10ms, train loss:157068.8125,  lr:1.0
